feature_id,feature_name,feature_family,producer_stage,formula_latex,formula_plain,required_inputs,output_dtype,units,coordinate_system,normalization,computation_grain,grouping_key,pair_reset_key,validity_mask,availability_mask,missing_value_semantics,zero_value_semantics,denominator,aggregation_rule,minimum_valid_observations,no_valid_observation_behavior,physical_interpretation,is_physical_measurement,review_eligible,model_eligible,model_group,leakage_risk,threshold_dependencies,schema_version,code_locations,test_locations,implementation_status,known_limitations
feature.timestamp_sec,timestamp_sec,timing,stage.frame_local_primitives,source\_frame\_index/source\_fps,source frame index divided by source FPS,source_frame_index|source_fps,float64,seconds,decoded_frame_clock,none,FRAME_OBJECT,,,timestamp_valid,timestamp_valid,unavailable; preserve missingness with a mask,measured time origin when timestamp_valid is true,not_applicable,none,1,numeric zero plus availability_mask=0,"elapsed decoded-video time, not world movement",false,true,false,TIMING_AUDIT,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/sources/temporal_provenance.py#apply_source_frame_clock,tests/test_classification_v2_motion_time_contracts.py#test_same_fps_legacy_and_cvat_t6_have_same_physical_clock,IMPLEMENTED_AND_TESTED,
feature.delta_t_sec,motion_delta_seconds,motion,stage.native_review_evidence,t_i-t_{i-1},current timestamp minus previous timestamp inside actor and temporal unit,timestamp_sec|previous_observation_available,float64,seconds,decoded_frame_clock,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,previous_observation_available,valid_delta_time,unavailable; preserve missingness with a mask,"zero is invalid delta time, never elapsed motion support",not_applicable,none,1,numeric zero plus availability_mask=0,elapsed video time between observations,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_motion_time_contracts.py#test_gap_pair_is_sparse_velocity_not_contiguous_path,IMPLEMENTED_AND_TESTED,
feature.previous_observation_available,previous_observation_available,motion,stage.native_review_evidence,1[i>0 within actor and temporal unit],true only when a previous row exists in the same actor trajectory and temporal unit,,bool,boolean,none,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,same_actor_and_unit,same_actor_and_unit,unavailable; preserve missingness with a mask,false means no pair exists,not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,true,motion_validity_masks,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase1_pair_contract.py#test_first_frame_of_unit_has_no_previous_pair,IMPLEMENTED_AND_TESTED,
feature.valid_motion_pair,valid_motion_pair,motion,stage.native_review_evidence,prev \land \Delta t>0 \land g_{i-1} \land g_i \land same\_unit \land same\_actor,"previous row exists, delta time positive, both geometries valid, same temporal unit and same actor trajectory",previous_observation_available|motion_delta_seconds|geometry_feature_valid|temporal_unit_key|object_track_key,bool,boolean,none,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,same_actor_and_unit,valid_motion_pair,unavailable; preserve missingness with a mask,"false means unavailable pair, not observed rest",not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,true,motion_validity_masks,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase1_pair_contract.py#test_missing_pair_is_distinct_from_stationary_zero|tests/test_classification_v2_motion_time_contracts.py#test_motion_resets_at_native_unit_and_roi_boundary,IMPLEMENTED_AND_TESTED,
feature.vx_n_per_second,vx_n_per_second,motion,stage.native_review_evidence,"(cx_{n,i}-cx_{n,i-1})/\Delta t",axis-normalized image x displacement divided by valid elapsed seconds,cx_n|motion_delta_seconds,float64,normalized_image_x_per_second,axis_normalized_image,x by image width,TEMPORAL_PAIR,object_track_key,temporal_unit_key,velocity_valid,velocity_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate velocity component; not physical velocity,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_constant_horizontal_velocity_and_midpoint_time,IMPLEMENTED_AND_TESTED,
feature.vy_n_per_second,vy_n_per_second,motion,stage.native_review_evidence,"(cy_{n,i}-cy_{n,i-1})/\Delta t",axis-normalized image y displacement divided by valid elapsed seconds,cy_n|motion_delta_seconds,float64,normalized_image_y_per_second,axis_normalized_image,y by image height,TEMPORAL_PAIR,object_track_key,temporal_unit_key,velocity_valid,velocity_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate velocity component; not physical velocity,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_constant_diagonal_velocity,IMPLEMENTED_AND_TESTED,
feature.bbox_width_rate_per_second,bw_rate_n_per_second,motion,stage.native_review_evidence,"(bw_{n,i}-bw_{n,i-1})/\Delta t",change in width/image-width ratio divided by valid elapsed seconds,bw_n|motion_delta_seconds,float64,normalized_image_x_per_second,axis_normalized_image,width by image width,TEMPORAL_PAIR,object_track_key,temporal_unit_key,bbox_rate_valid,bbox_rate_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,projected image-size rate; not physical expansion,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_bbox_rates_use_pair_delta_time,IMPLEMENTED_AND_TESTED,
feature.bbox_height_rate_per_second,bh_rate_n_per_second,motion,stage.native_review_evidence,"(bh_{n,i}-bh_{n,i-1})/\Delta t",change in height/image-height ratio divided by valid elapsed seconds,bh_n|motion_delta_seconds,float64,normalized_image_y_per_second,axis_normalized_image,height by image height,TEMPORAL_PAIR,object_track_key,temporal_unit_key,bbox_rate_valid,bbox_rate_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,projected image-size rate; not physical expansion,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_bbox_rates_use_pair_delta_time,IMPLEMENTED_AND_TESTED,
feature.bbox_area_rate_per_second,area_rate_n_per_second,motion,stage.native_review_evidence,"(area_{n,i}-area_{n,i-1})/\Delta t",change in bbox/image area ratio divided by valid elapsed seconds,area_n|motion_delta_seconds,float64,normalized_image_area_per_second,image_pixel_area,image area,TEMPORAL_PAIR,object_track_key,temporal_unit_key,bbox_rate_valid,bbox_rate_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,projected image-area rate; not physical area rate,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_bbox_rates_use_pair_delta_time,IMPLEMENTED_AND_TESTED,
feature.bbox_aspect_ratio_rate_per_second,aspect_ratio_rate_per_second,motion,stage.native_review_evidence,(r_i-r_{i-1})/\Delta t,change in bbox aspect ratio divided by valid elapsed seconds,aspect_ratio|motion_delta_seconds,float64,ratio_per_second,image_pixel,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,bbox_rate_valid,bbox_rate_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,projected shape-rate; not physical deformation,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_bbox_rates_use_pair_delta_time,IMPLEMENTED_AND_TESTED,
feature.speed_n_per_second,speed_n_per_second,motion,stage.native_review_evidence,sqrt((\Delta cx/W)^2+(\Delta cy/H)^2)/\Delta t,"Euclidean norm after separate x/image-width and y/image-height normalization, divided by elapsed seconds",cx_n|cy_n|motion_delta_seconds,float64,axis_normalized_image_distance_per_second,axis_normalized_image_metric_v1,x by width and y by height before Euclidean norm,TEMPORAL_PAIR,object_track_key,temporal_unit_key,velocity_valid,velocity_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,anisotropic image-coordinate speed; not physical speed,false,true,true,motion_delta,LOW,stationary_speed_threshold_per_second_v1|active_speed_threshold_per_second_v1,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_motion_time_contracts.py#test_physical_speed_is_fps_invariant,IMPLEMENTED_AND_TESTED,Existing test name overstates physical meaning.
feature.direction_rad,direction_rad,motion,stage.native_review_evidence,"atan2(\Delta cy/H,\Delta cx/W)",heading angle in the axis-normalized image coordinate system,cx_n|cy_n,float64,radians,axis_normalized_image_metric_v1,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,direction_valid,direction_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate heading; not world-plane heading,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_zero_speed_direction_is_unavailable_not_angle_zero,IMPLEMENTED_AND_TESTED,
feature.direction_change_rad,direction_change_rad,motion,stage.native_review_evidence,"wrap_{[-pi,pi)}(theta_i-theta_{i-1})",wrapped difference of two consecutive valid image-coordinate headings,direction_rad,float64,radians,axis_normalized_image_metric_v1,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,direction_change_valid,direction_change_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate turning; not world-plane turning,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_direction_wrap_uses_signed_shortest_angle,IMPLEMENTED_AND_TESTED,
feature.tangential_acceleration_n_per_second2,tangential_acceleration_n_per_second2,motion,stage.native_review_evidence,"(speed_i-speed_{i-1})/(m_i-m_{i-1}), m_i=(t_{i-1}+t_i)/2",change in consecutive interval-average scalar speeds divided by their midpoint sample-time difference,speed_n_per_second|velocity_sample_time_sec,float64,axis_normalized_image_distance_per_second2,axis_normalized_image_metric_v1,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,tangential_acceleration_valid,tangential_acceleration_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,centered interval-average discrete tangential image-coordinate acceleration; not instantaneous or physical acceleration,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_speed_change_fixed_direction_separates_accelerations,IMPLEMENTED_AND_TESTED,The pre-v2 acceleration_n_per_second2 alias is retained only for compatibility and is not a model-v2 feature.
feature.ax_n_per_second2,ax_n_per_second2,motion,stage.native_review_evidence,"(vx_i-vx_{i-1})/(m_i-m_{i-1}), m_i=(t_{i-1}+t_i)/2",change in consecutive interval-average x velocities divided by their midpoint sample-time difference,vx_n_per_second|velocity_sample_time_sec,float64,normalized_image_x_per_second2,axis_normalized_image_metric_v1,none,TEMPORAL_PAIR,object_track_key,temporal_unit_key,vector_acceleration_valid,vector_acceleration_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,centered interval-average discrete image-coordinate acceleration component; not instantaneous or physical acceleration,false,true,true,motion_delta,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_deltas,tests/test_classification_v2_phase2_motion_schema.py#test_constant_speed_changing_direction_has_vector_acceleration,IMPLEMENTED_AND_TESTED,
feature.trajectory_length_n_unit,path_length_n_unit,motion_aggregate,stage.native_review_evidence,sum_{i:valid} sqrt((Delta cx/W)^2+(Delta cy/H)^2),sum of valid adjacent axis-normalized image displacements,valid_motion_pair|cx_n|cy_n,float64,axis_normalized_image_distance,axis_normalized_image_metric_v1,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,valid_adjacent_motion_pair,motion_feature_available,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,valid adjacent pair count; sum has no division,sum valid adjacent displacements only,1,numeric zero plus availability_mask=0,image-coordinate path length; not physical distance,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,,IMPLEMENTED_PARTIALLY_TESTED,
feature.motion_active_ratio_unit,motion_active_ratio_per_second_unit,motion_aggregate,stage.native_review_evidence,count(valid and speed>tau)/valid_pair_count,valid motion pairs above the calibrated image-speed threshold divided by valid motion pairs,speed_n_per_second|valid_motion_pair,float64,ratio,axis_normalized_image_metric_v1,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,motion_feature_available,motion_feature_available,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,valid_pair_count,mean indicator over valid pairs only,1,numeric zero plus availability_mask=0,image-coordinate activity fraction; not physical activity duration,false,true,false,NONE,LOW,active_speed_threshold_per_second_v1,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/temporal_evidence.py#_motion_summary,tests/test_classification_v2_phase1_pair_contract.py#test_motion_active_ratio_uses_valid_pair_denominator,IMPLEMENTED_AND_TESTED,
feature.motion_burstiness_unit,motion_burstiness_n_per_second_unit,motion_aggregate,stage.native_review_evidence,std_valid(speed)/(mean_valid(speed)+epsilon),standard deviation divided by mean using valid speed pairs only,speed_n_per_second|valid_motion_pair,float64,ratio,axis_normalized_image_metric_v1,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,motion_feature_available,motion_feature_available,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,valid_pair_count for mean and sample support for std,valid-pair coefficient of variation,2,numeric zero plus availability_mask=0,image-coordinate speed variability; not physical burst energy,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_motion_burstiness_uses_valid_pair_denominator,IMPLEMENTED_AND_TESTED,
feature.valid_pair_count,valid_pair_count,motion_aggregate,stage.native_review_evidence,sum_i 1[valid_motion_pair_i],count of valid temporal pairs in the unit,,int64,pairs,none,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,observed_mask,observed_mask,unavailable; preserve missingness with a mask,measured zero valid pairs,not_applicable,sum valid_motion_pair,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_pair_coverage_counts_are_consistent,IMPLEMENTED_AND_TESTED,
feature.possible_pair_count,possible_pair_count,motion_aggregate,stage.native_review_evidence,"max(observed_frame_count-1,0)",number of consecutive observed row opportunities within actor and unit,,int64,pairs,none,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,observed_mask,observed_mask,unavailable; preserve missingness with a mask,unit has fewer than two observed frames,not_applicable,"max(observed_frame_count minus one, zero)",1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_pair_coverage_counts_are_consistent,IMPLEMENTED_AND_TESTED,
feature.valid_pair_ratio,valid_pair_ratio,motion_aggregate,stage.native_review_evidence,valid_pair_count/possible_pair_count,valid pair count divided by possible pair count,,float64,ratio,none,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,possible_pair_count_positive,possible_pair_count_positive,unavailable; preserve missingness with a mask,zero means no valid pair only when possible-pair mask is true,possible_pair_count,ratio,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_exactly_one_valid_pair_uses_complete_support,IMPLEMENTED_AND_TESTED,
feature.observed_frame_count,observed_frame_count,motion_aggregate,stage.native_review_evidence,sum_i observed_mask_i,count of observed non-padding frame rows,,int64,frames,none,none,NATIVE_UNIT,temporal_unit_key,,observed_mask,observed_mask,unavailable; preserve missingness with a mask,no observed frames,not_applicable,sum observed mask,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_pair_coverage_counts_are_consistent,IMPLEMENTED_AND_TESTED,
feature.motion_feature_coverage,motion_feature_coverage,motion_aggregate,stage.native_review_evidence,"valid_pair_count/max(possible_pair_count,1)",valid-pair coverage with explicit possible-pair availability,,float64,ratio,none,none,NATIVE_UNIT,temporal_unit_key,temporal_unit_key,possible_pair_count_positive,possible_pair_count_positive,unavailable; preserve missingness with a mask,zero coverage only when possible pairs exist; otherwise placeholder with mask zero,possible_pair_count,ratio with separate availability,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/spatiotemporal.py#_add_temporal_unit_aggregates,tests/test_classification_v2_phase1_pair_contract.py#test_all_pairs_invalid_have_placeholder_and_unavailable_mask|tests/test_classification_v2_phase1_pair_contract.py#test_exactly_one_valid_pair_uses_complete_support,IMPLEMENTED_AND_TESTED,
feature.pair_distance_axis_n,nearest_dist_n,social,stage.frame_local_primitives,sqrt((dx/W)^2+(dy/H)^2),Euclidean distance between separately axis-normalized image centers,cx_n|cy_n,float64,axis_normalized_image_distance,axis_normalized_image_metric_v1,x by width and y by height before norm,FRAME_OBJECT,,,social_context_valid,social_neighbor_available,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,anisotropic image-coordinate separation; not physical distance,false,true,true,social_relation,LOW,social_near_distance_n_v1,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/social.py#build_static_social_context_features,,IMPLEMENTED_PARTIALLY_TESTED,
feature.pair_distance_diagonal_n,pair_distance_diagonal_n,social,stage.frame_local_primitives,sqrt(dx_px^2+dy_px^2)/sqrt(W^2+H^2),pixel Euclidean distance divided by image diagonal,cx|cy|image_width|image_height,float64,diagonal_normalized_image_distance,isotropic_pixel_diagonal_metric_v1,image diagonal after pixel-space norm,FRAME_OBJECT,,,social_context_valid,social_neighbor_available,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,isotropic pixel-space image distance; not physical distance,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,,,DECLARED_NOT_IMPLEMENTED,Must not inherit thresholds calibrated on axis-normalized metric.
feature.nearest_stable_partner_key,nearest_stable_partner_key,social,stage.frame_local_primitives,"argmin_j(distance, object_track_key, track_id, object_id)",stable canonical key of minimum-distance neighbor with deterministic identity tie-break,,string,identifier,none,none,FRAME_OBJECT,,,social_context_valid,social_neighbor_available,unavailable; preserve missingness with a mask,blank means no valid neighbor,not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,IDENTIFIER_FORBIDDEN,,classification_v2.feature_semantics.v1,,,DECLARED_NOT_IMPLEMENTED,Current producer emits pig_id and track_id metadata but no canonical partner key.
feature.nearest_pig_metadata,nearest_pig_id,social,stage.frame_local_primitives,pig_id(argmin_j distance),annotation-local pig metadata for selected neighbor,,string,identifier_metadata,none,none,FRAME_OBJECT,,,social_neighbor_available,social_neighbor_available,unavailable; preserve missingness with a mask,blank means unavailable metadata,not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,AUDIT_ONLY,IDENTIFIER_FORBIDDEN,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/social.py#build_static_social_context_features,,REVIEW_ONLY,
feature.social_tie_break_policy,social_tie_break_policy,social,stage.frame_local_primitives,"lexicographic(distance, object_track_key, track_id, object_id)","minimum distance then object_track_key, track_id, object_id",,contract,policy,none,none,FRAME_OBJECT,,,social_context_valid,social_context_valid,unavailable; preserve missingness with a mask,not_applicable,not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,false,NONE,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/social.py#build_static_social_context_features,,IMPLEMENTED_NOT_TESTED,Current code uses pig_id as fourth tie-break and lacks explicit permutation test.
