chronological_order,candidate_id,commit_sha,run_id,optimization_family,algorithm_or_stage,entry_point,effective_parameters,input_artifact,output_artifact,decision,decision_evidence,accepted_into_final,superseded_by,active_in_final_source,active_in_final_execution
11,LOCAL_PAIR_SWAP,8d6e57bb0a5138c674ba6a72362aafd6e6c51d1e,20260703_221004,identity_repair,"frame-local motion pair swap repair",src/pig_behavior/tracking/refinement.py,"local_pair_swap_repair=false",refined shapes,repaired shapes,REJECTED,"source comment says hard-case evals had no effect and keeps stage opt-in; final command does not enable it",NO,,YES,NO
12,EPISODE_PAIR_SWAP,8d6e57bb0a5138c674ba6a72362aafd6e6c51d1e,20260703_222520,identity_repair,"episode-level pair swap repair",src/pig_behavior/tracking/refinement.py,"episode_pair_swap_repair=false",refined shapes,repaired shapes,REJECTED,"implemented opt-in but absent from final profile overrides and false in final effective config",NO,,YES,NO
13,HIDDEN_OWNER_GUARD,8d6e57bb0a5138c674ba6a72362aafd6e6c51d1e,,owner_guard,"hold assignment when raw owner is Hidden or lost",src/pig_behavior/tracking/association.py,"hidden_owner_guard=true; hold_assignment=true",association candidates,matched fixed tracks,ACCEPTED_INTO_FINAL,"active in the frozen H5b command and final source",YES,,YES,YES
14,LONG_PAIR_SWAP,efd49af429584d2b5a422ef5e22fc4d7be375d4d,,identity_repair,"long visible pair swap repair",src/pig_behavior/tracking/refinement.py,"long_pair_swap_repair=false",refined shapes,repaired shapes,REJECTED,"implemented opt-in but absent from final profile overrides and false in final effective config",NO,,YES,NO
15,REENTRY_EPISODE_REJECTION,efd49af429584d2b5a422ef5e22fc4d7be375d4d,,reentry_guard,"episode-counted unowned raw-mismatch re-entry rejection/hold",src/pig_behavior/tracking/association.py,"enabled; events 3..8; missed 1..20; max_cost=0.36; action=hold",reid candidates,matched fixed tracks,ACCEPTED_INTO_FINAL,"active in frozen H5b command and surviving final association path",YES,,YES,YES
16,SUFFIX_PAIR_SWAP,22b8467cb00832b3403d6c85cb63985697216abe,,identity_repair,"long suffix pair swap repair after bounded overlap",src/pig_behavior/tracking/refinement.py,"enabled; min_suffix_frames=1500",temporally refined shapes,identity-repaired shapes,ACCEPTED_INTO_FINAL,"active in frozen H5b command and final profile",YES,,YES,YES
17,OCCLUSION_BAD_MATCH_REJECT,22b8467cb00832b3403d6c85cb63985697216abe,,occlusion_reentry,"prefer gap over bad unowned raw-mismatch occlusion re-ID",src/pig_behavior/tracking/association.py,"enabled; missed 7..12; cost 0.55..0.70; action=reject",reid candidates,matched fixed tracks,ACCEPTED_INTO_FINAL,"active in frozen H5b command and final profile",YES,,YES,YES
18,FAILED_000233_PROBES,c700407ca0fc4edbeaa65fe9e6e3ec9fadb9a54f,,diagnostic,"record failed 000233 tracking probes",memory_and_outputs,"no promoted binding",diagnostic runs,decision record,DIAGNOSTIC_ONLY,"commit explicitly records failed probes and makes no final-profile change",NO,,NO,NO
19,OVERLAP_SMALL_BOX_SUPPRESSION,d6d06985b57146df489ea64f689a45f39288c321,,geometry_repair,"suppress small low-confidence box during strong overlap",src/pig_behavior/tracking/refinement.py,"enabled; IoU>=0.40; area_ratio<=0.65; score<=0.75",refined shapes,geometry-repaired shapes,ACCEPTED_INTO_FINAL,"improve 000233 overlap small box guard; active in frozen H5b command",YES,,YES,YES
20,HIDDEN_SUFFIX_REPAIR_V1,14e7dcfd345f6e40050ab5e192c14cc4c8f56a8a,,hidden_identity_repair,"Hidden suffix identity repair",src/pig_behavior/tracking/refinement.py,"enabled; hidden run 8..15; overlap>=0.70; suffix>=600",geometry-repaired shapes,identity-repaired shapes,ACCEPTED_INTO_FINAL,"fix 000233 hidden suffix id swap; active in frozen H5b command",YES,H5B_OVERLAP_PERSISTENCE,YES,YES
21,NO_SUFFIX_CANDIDATE,f9fa61db41f7446e639415c9b3918d75e5ce4985,,identity_repair,"disable suffix repair",historical command/config,"suffix repair disabled",parent predictions,no-suffix predictions,REJECTED,"bcb970e records no-suffix full regression",NO,,NO,NO
22,NO_SUFFIX_FULL_REGRESSION,bcb970e124879087a99e14610d425ed0c6d9339c,,identity_repair,"full evaluation of no-suffix candidate",historical evaluator,"full development run",no-suffix predictions,regression record,DIAGNOSTIC_ONLY,"commit explicitly records full regression and candidate was not promoted",NO,,NO,NO
23,SUFFIX_VISIBLE_START_GATE,81660b17e10bee5dc82cac2df33d2c19f76b8b05,,identity_repair,"require visible swap start for suffix repair",src/pig_behavior/tracking/refinement.py,"visible-boundary gate",suffix candidates,identity-repaired shapes,ACCEPTED_INTO_FINAL,"gate commit follows no-suffix rejection and survives final repair function",YES,H5B_OVERLAP_PERSISTENCE,YES,YES
24,HYBRID_PROFILE_BINDING,e880d4033b68cae7dbaa9d466fd81651ab9e0cb8,20260707_230230,orchestration,"bind cumulative hybrid_bytetrack_best profile and canonical mode",src/pig_behavior/tracking/profiles/hybrid_bytetrack.py,"det_conf=0.20; max_raw_detections=64 plus accepted guards/repairs",videos,cumulative hybrid predictions,ACCEPTED_INTO_FINAL,"locked hybrid baseline and profile snapshot; H5b command rebinds the same semantics explicitly",YES,,YES,YES
25,ASYMMETRIC_REFINEMENT_H2,e1374af80754270c63841cf2105aa076b057ff3c,20260717_e55973f_h2_pastonly15_future30_full13_v2,bbox_refinement,"future gap 30 with past-only gap 15",src/pig_behavior/tracking/refinement.py,"refine_max_gap_frames=30; previous=15",parent shapes,asymmetrically refined shapes,REJECTED,"TRACKING_PROMOTION_DECISION_20260717_H2_ASYMMETRIC_REFINEMENT rejects full13",NO,,YES,NO
26,FAR_VIEW_IDENTITY_GUARD,72546708c793c84c46166e93fe4bb4ed1831f822,20260717_6e65b22_identity_guard_far_full13_primary_v1,identity_repair,"skip mixed detected/occlusion-hold swaps only in far view",src/pig_behavior/tracking/refinement.py,"enabled; far_x_threshold=0.67",identity-guard input,guarded identities,ACCEPTED_INTO_FINAL,"TRACKING_PROMOTION_DECISION_20260718_HYBRID_FAR_IDENTITY_GUARD",YES,,YES,YES
27,NEAR_WALL_GEOMETRY,3391dbd285eee61a58a9999cf73f792d8bc151b7,20260718_b66428e_hybrid_wall_geometry_candidate_primary_authority_v1,geometry_repair,"near-wall Hidden bbox interpolation/refinement",src/pig_behavior/tracking/refinement.py,"enabled; gap=30; distance_scale=0.25; width_excess=0.08; center_shift=0.04; original_weight=0.50",identity-repaired shapes,near-wall geometry shapes,ACCEPTED_INTO_FINAL,"TRACKING_PROMOTION_DECISION_20260718_HYBRID_NEAR_WALL_GEOMETRY",YES,,YES,YES
28,CAUSAL_HIDDEN_RESERVATION,90e756b0b7239e0b922069fa691bbebf7dfb5edc,,association_guard,"reserve strong Hidden claims before visible match",src/pig_behavior/tracking/association.py,"causal_hidden_detection_reservation=false in H5b",association candidates,matched tracks,REJECTED,"not enabled by the frozen H5b command; belongs to separate realtime candidate work",NO,,YES,NO
29,H4_FAR_CAMERA_GEOMETRY,befaa58c4bc4228e714a187999aa12abb72f00b8,20260718_c11a2f4_h5b_h4_combined_000328_replay_v1,geometry_repair,"external far-camera Hidden geometry replay",.agents/skills/tracking-experiment-guardian/scripts/replay_post_video_geometry.py,"future_gap=15; height_excess=0.15; visible_iou=0.65; reduction=0.10; center_shift=0.12; original_weight=0.10",frozen H5b shapes/XML,H4 shapes/XML,ACCEPTED_INTO_FINAL,"TRACKING_H4_FAR_CAMERA_GEOMETRY_DECISION and final H5b/H4 promotion",YES,,YES,YES
30,H5A_COMMIT_AFTER_RUN,291f237adb8a6171b5c5c9d0afa0b3e452490def,20260718_h5_identity_replay_screen_000233_v1,hidden_identity_repair,"commit Hidden suffix identity after Hidden run",identity replay script,"post-run boundary",H4 parent shapes,H5a shapes,REJECTED,"TRACKING_H5_HIDDEN_SUFFIX_DECISION_20260718 rejects frozen window",NO,H5B_OVERLAP_PERSISTENCE,YES,NO
31,H5B_OVERLAP_PERSISTENCE,c11a2f4037cc20db996ce370adf4558c93d85474,20260719_h5b_full13_candidate_v2,hidden_identity_repair,"commit Hidden suffix identity at first persistent-overlap boundary",src/pig_behavior/tracking/refinement.py,"enabled; min_overlap_persistence_frames=2",complete cumulative hybrid shapes,H5b shapes/XML,ACCEPTED_INTO_FINAL,"H5b window/full/hard-set/full13 funnel and final promotion authority",YES,,YES,YES
32,H5B_H4_CUMULATIVE_FINAL,31d360ba96b4065ce5125c0d88765531cc5898ae,20260719_h5b_h4_full13_combined_v2,orchestration,"complete cumulative hybrid execution followed by per-video H4 replay",evaluation CLI then geometry replay,"exact frozen H5b command plus 13 manifest-bound H4 commands",13 development videos,13 final XML files,ACCEPTED_INTO_FINAL,"TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4 and lane completion decision",YES,,YES,YES
