section,experiment,system,dataset_role,metric,value,uncertainty,n,status,artifact,commit,notes
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,IDF1,0.8864,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,IDSW,152,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort; video 000263 contributes 88 ID switches.
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,wrong_id_exposure_frames,77832,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,HOTA,0.8882,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,AssA,0.8781,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,DetA,0.8992,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,IDF1,0.9719,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,IDSW,58,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,RealTime-Fast (R0_current),tracking_development_full_13vids,wrong_id_exposure_frames,23786,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,HOTA,0.9003,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,AssA,0.9119,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,DetA,0.8898,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,IDF1,0.9915,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,IDSW,0,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,"0 IDSW achieved across all 13 development videos, including 000263."
tracking,tracking_dev13_evaluation,Hybrid-ByteTrack (B1_historical_H5b_H4),tracking_development_full_13vids,wrong_id_exposure_frames,48,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_confirmatory_preflight,Confirmatory Set,tracking_confirmatory_heldout_12vids,unseen_files_accessed,0,,12 held-out videos,PROMOTED,docs/tracking/method_standardization/TRACKING_UNSEEN_PREFLIGHT_AUTHORITY_20260730.json,db1cccb7,Frozen preflight authority (2026-07-30); physical run executed 2026-08-20 (commit db1cccb7); certified CONFIRMATORY_B.
behavior_recognition,video_group_balanced_5fold_cv,Model A (Baseline High-Ceiling),behavior_5fold_cv_12vids,5fold_macro_f1,0.677789,std=0.0240,"5 folds (28,800 units)",PROMOTED,outputs/classification_v2/final_high_ceiling_v1/,HEAD,"Primary single-model baseline. Fold scores: VG1=0.700872, VG2=0.694903, VG3=0.632632, VG4=0.680758, VG5=0.679783."
behavior_recognition,video_group_balanced_5fold_cv,Model B (Joint Representation),behavior_5fold_cv_12vids,5fold_macro_f1,0.670838,"std_ddof1=0.0349, std_ddof0=0.0312","5 folds (28,800 units)",PROMOTED,outputs/classification_v2/joint_representation_v1/,HEAD,Ensemble partner model with joint latents. Reconciled from physical evaluation arrays in outputs/classification_v2/final_model_j_replay_v1/ensemble_with_b_v1/.
behavior_recognition,video_group_balanced_5fold_cv,Model J Replay (J_F2),behavior_5fold_cv_12vids,5fold_macro_f1,0.684646,std=0.0267,"5 folds (28,800 units)",PROMOTED,outputs/classification_v2/final_model_j_replay_v1/,HEAD,"Focal architecture with local spatial attention and class-aware gating. Delta vs Model A = +0.006857. Folds: VG1=0.709400, VG2=0.694903, VG3=0.633957, VG4=0.692737, VG5=0.692233."
behavior_recognition,video_group_balanced_5fold_cv,Model K (J + Local Motion),behavior_5fold_cv_12vids,5fold_macro_f1,0.682351,std=0.0253,"5 folds (28,800 units)",MEASURED_BUT_NOT_PRIMARY,outputs/classification_v2/final_single_k_localmotion_v1/,HEAD,"Explored local motion branch; outperforms Model A (+0.004562) but falls short of Model J (-0.002295). Folds: VG1=0.709503, VG2=0.695357, VG3=0.638355, VG4=0.680758, VG5=0.687785."
behavior_recognition,video_group_balanced_5fold_cv,J_PBNEW (E_J Teacher),behavior_5fold_cv_12vids,5fold_macro_f1,0.684770,std=0.0226,"5 folds (28,800 units)",PROMOTED,outputs/classification_v2/final_model_j_pbnew_ejteacher_v1/summary.json,HEAD,"BEST_SINGLE_BEHAVIOR_MODEL. Trained with semantic probabilities from E_J teacher. Delta vs Model A = +0.006981, Delta vs J_F2 = +0.000124 (3/5 folds improved). Folds: VG1=0.709683, VG2=0.700285, VG3=0.644606, VG4=0.678462, VG5=0.690816."
model_j_ablation,model_j_2x2_factorial_ablation,Config N (Scaffold Control),behavior_5fold_cv_12vids,5fold_macro_f1,0.677789,std=0.0240,5 folds (15 checkpoints),PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,"Identical backbone, dual-pathway scaffold, local attention and gating bypassed. Delta vs A = +0.000000."
model_j_ablation,model_j_2x2_factorial_ablation,Config L (Local-Spatial Only),behavior_5fold_cv_12vids,5fold_macro_f1,0.677789,std=0.0240,5 folds (15 checkpoints),PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Local spatial attention enabled with uniform un-gated weighting. Delta vs N = +0.000000 (neutral).
model_j_ablation,model_j_2x2_factorial_ablation,Config G (Class Gate Only),behavior_5fold_cv_12vids,5fold_macro_f1,0.682898,std=0.0203,5 folds (15 checkpoints),PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Class-aware gating without local spatial attention. Delta vs N = +0.005109 (primary driver).
model_j_ablation,model_j_2x2_factorial_ablation,Model J (Full Local + Gate),behavior_5fold_cv_12vids,5fold_macro_f1,0.684646,std=0.0267,5 folds (15 checkpoints),PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Both local spatial attention and class-aware gating enabled. Delta vs N = +0.006857.
model_j_ablation,model_j_2x2_factorial_ablation,Factorial Decomposition,behavior_5fold_cv_12vids,scaffold_effect_N_minus_A,0.000000,,5 folds,PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Proves architectural scaffold adds no spurious parameter gain.
model_j_ablation,model_j_2x2_factorial_ablation,Factorial Decomposition,behavior_5fold_cv_12vids,local_effect_neutral_L_minus_N,0.000000,,5 folds,PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Un-gated local spatial attention alone does not improve held-out Macro-F1.
model_j_ablation,model_j_2x2_factorial_ablation,Factorial Decomposition,behavior_5fold_cv_12vids,gate_effect_no_local_G_minus_N,+0.005109,,5 folds,PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Class-aware gating is the dominant isolated contributor (+0.005109).
model_j_ablation,model_j_2x2_factorial_ablation,Factorial Decomposition,behavior_5fold_cv_12vids,full_effect_vs_scaffold_J_minus_N,+0.006857,,5 folds,PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Combined architectural gain over neutral scaffold.
model_j_ablation,model_j_2x2_factorial_ablation,Factorial Decomposition,behavior_5fold_cv_12vids,descriptive_interaction_J_minus_L_minus_G_plus_N,+0.001748,,5 folds,PROMOTED,outputs/classification_v2/final_j_ablation_v1/summary.json,HEAD,Case D Synergistic Interaction: gating conditionally unlocks local spatial representation without diluting global evidence.
ensemble_systems,ensemble_cross_validation,E_0 (Baseline Model A + Model B 50/50),behavior_5fold_cv_12vids,5fold_macro_f1,0.692609,,5 folds,PROMOTED,outputs/classification_v2/final_model_j_replay_v1/ensemble_with_b_v1/summary.json,HEAD,Historical ensemble baseline combining Model A and Model B.
ensemble_systems,ensemble_cross_validation,E_PHOTO (Photometric TTA),behavior_5fold_cv_12vids,5fold_macro_f1,0.693036,,5 folds,MEASURED_BUT_NOT_PRIMARY,outputs/classification_v2/final_model_j_replay_v1/ensemble_with_b_v1/summary.json,HEAD,Test-time augmentation baseline.
ensemble_systems,ensemble_cross_validation,E_J Fixed 50/50 (0.50*J_F2 + 0.50*B),behavior_5fold_cv_12vids,5fold_macro_f1,0.693905,std=0.0337,5 folds,PROMOTED,outputs/classification_v2/final_model_j_replay_v1/ensemble_with_b_v1/summary.json,HEAD,"BEST_VALIDATED_BEHAVIOR_SYSTEM. Net 434 corrections vs Model J alone (1002 fixed, 568 broken). Folds: VG1=0.719035, VG2=0.714796, VG3=0.627833, VG4=0.699707, VG5=0.708154."
ensemble_systems,ensemble_cross_validation,E_J_PBNEW Fixed 50/50 (0.50*J_PBNEW + 0.50*B),behavior_5fold_cv_12vids,5fold_macro_f1,0.693912,std=0.0312,5 folds,REJECTED,outputs/classification_v2/final_model_j_pbnew_ejteacher_v1/ensemble_with_b_fixed50_v1/summary.json,HEAD,"REJECTED for promotion despite mean +0.000007 gain because only 2/5 folds improved (VG2, VG3), failing the >= 3/5 criterion. Folds: VG1=0.716400, VG2=0.715476, VG3=0.632905, VG4=0.699375, VG5=0.705404."
ensemble_systems,ensemble_weight_tuning,Weight Search Branches (Asymmetric / Classwise),behavior_5fold_cv_12vids,search_status,CLOSED,,0 evaluations,CLOSED,outputs/classification_v2/final_model_j_replay_v1/,HEAD,Ensemble weights strictly frozen at equal 50/50 to avoid validation overfitting.
identity_to_profile,profile_propagation_dev12,Raw ByteTrack,development_profile_overlap_12vids,A1_TV_distortion_mean,0.0953,"ci95=[0.0394, 0.1587]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Primary total variation profile distortion under fixed human behavior annotations. Median=0.0000, IQR=0.0627."
identity_to_profile,profile_propagation_dev12,RealTime-Fast,development_profile_overlap_12vids,A1_TV_distortion_mean,0.0309,"ci95=[0.0043, 0.0668]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Causal online tracking mode. Median=0.0000, IQR=0.0000."
identity_to_profile,profile_propagation_dev12,Hybrid-ByteTrack,development_profile_overlap_12vids,A1_TV_distortion_mean,0.0001,"ci95=[0.0000, 0.0004]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Retrospective offline tracking mode. Near-zero profile distortion. Median=0.0000, IQR=0.0000."
identity_to_profile,profile_propagation_dev12,Pairwise Difference (Raw - RealTime),development_profile_overlap_12vids,A1_TV_delta_mean,+0.0644,"ci95=[+0.0216, +0.1073]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Statistically supported improvement. LOOV: PASS (all 12 video-folds positive, range 0.0540 to 0.0747)."
identity_to_profile,profile_propagation_dev12,Pairwise Difference (Raw - Hybrid),development_profile_overlap_12vids,A1_TV_delta_mean,+0.0951,"ci95=[+0.0393, +0.1586]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Statistically supported improvement. LOOV: PASS (all 12 video-folds positive, range 0.0705 to 0.1038)."
identity_to_profile,profile_propagation_dev12,Pairwise Difference (RealTime - Hybrid),development_profile_overlap_12vids,A1_TV_delta_mean,+0.0308,"ci95=[+0.0043, +0.0665]",12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Statistically supported improvement. LOOV: PASS (all 12 video-folds positive, range 0.0164 to 0.0336)."
identity_to_profile,profile_propagation_dev12,Raw ByteTrack,development_profile_overlap_12vids,A2_TV_distortion_mean,0.0977,,12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Realistic protocol incorporating temporal coverage drop. Temporal coverage = 99.13%.
identity_to_profile,profile_propagation_dev12,RealTime-Fast,development_profile_overlap_12vids,A2_TV_distortion_mean,0.0322,,12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Realistic protocol incorporating temporal coverage drop. Temporal coverage = 99.66%.
identity_to_profile,profile_propagation_dev12,Hybrid-ByteTrack,development_profile_overlap_12vids,A2_TV_distortion_mean,0.0036,,12 videos / 96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Realistic protocol incorporating temporal coverage drop. Temporal coverage = 99.11%.
identity_to_profile,profile_propagation_dev12,Raw ByteTrack,development_profile_overlap_12vids,spearman_rho_exposure_vs_TV,0.9381,"ci95=[0.8849, 0.9696]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Correlation between wrong-ID exposure frames and A1 TV distortion.
identity_to_profile,profile_propagation_dev12,Raw ByteTrack,development_profile_overlap_12vids,spearman_rho_idsw_vs_TV,0.8712,"ci95=[0.7627, 0.9416]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Correlation between discrete ID switches and A1 TV distortion.
identity_to_profile,profile_propagation_dev12,Raw ByteTrack,development_profile_overlap_12vids,delta_abs_spearman_rho,+0.0668,"ci95=[+0.0116, +0.1501]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Claim B strictly supported for Raw ByteTrack: 95% cluster bootstrap CI is strictly positive.
identity_to_profile,profile_propagation_dev12,RealTime-Fast,development_profile_overlap_12vids,spearman_rho_exposure_vs_TV,0.9698,"ci95=[0.8749, 0.9997]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Correlation between wrong-ID exposure frames and A1 TV distortion.
identity_to_profile,profile_propagation_dev12,RealTime-Fast,development_profile_overlap_12vids,spearman_rho_idsw_vs_TV,0.9186,"ci95=[0.7896, 0.9971]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Correlation between discrete ID switches and A1 TV distortion.
identity_to_profile,profile_propagation_dev12,RealTime-Fast,development_profile_overlap_12vids,delta_abs_spearman_rho,+0.0512,"ci95=[-0.0006, +0.1577]",96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Claim B partially supported for RealTime-Fast: point estimate +0.0512, but 95% bootstrap CI spans zero."
identity_to_profile,profile_propagation_dev12,Hybrid-ByteTrack,development_profile_overlap_12vids,spearman_rho_exposure_vs_TV,1.0000,,96 sessions,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Residual exposure in 1 session.
identity_to_profile,profile_propagation_dev12,Hybrid-ByteTrack,development_profile_overlap_12vids,spearman_rho_idsw_vs_TV,,,96 sessions,DIAGNOSTIC_ONLY,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Degenerate correlation: 0 ID switches across all sessions yields zero variance.
outer_test_governance,behavior_outer_test_evaluation,Behavior Outer Test Set,behavior_outer_test_heldout,outer_test_evaluations,0,,held-out test set,CLOSED,outputs/classification_v2/final_model_j_pbnew_ejteacher_v1/summary.json,HEAD,"Outer test set remained 100% untouched during all model exploration, distillation, and ensemble tuning."
tracking,tracking_confirmatory_12vids,RealTime-Fast,tracking_confirmatory_heldout_12vids,HOTA,90.33%,"Mean: 89.89% [95% CI: 84.13%, 94.43%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/realtime_fast/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Held-out confirmatory evaluation under Standard V2; online causal 15 Hz detector.
tracking,tracking_confirmatory_12vids,RealTime-Fast,tracking_confirmatory_heldout_12vids,IDF1,95.03%,"Mean: 95.03% [95% CI: 89.49%, 99.16%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/realtime_fast/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Held-out confirmatory evaluation under Standard V2.
tracking,tracking_confirmatory_12vids,RealTime-Fast,tracking_confirmatory_heldout_12vids,IDSW,39,"Median: 0.0, range [0, 16]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/realtime_fast/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. 39% reduction vs raw baseline (64 -> 39) with half the detector calls.
tracking,tracking_confirmatory_12vids,RealTime-Fast,tracking_confirmatory_heldout_12vids,wrong_id_exposure,23029 (13.36% matched / 13.33% all-GT),"767.63 s; 51 episodes, 5 swaps",172800 evaluated frames,PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/realtime_fast/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Duration-weighted exposure on held-out videos.
tracking,tracking_confirmatory_12vids,Hybrid-ByteTrack,tracking_confirmatory_heldout_12vids,HOTA,93.55%,"Mean: 93.47% [95% CI: 89.85%, 96.24%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/hybrid_bytetrack/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Primary offline tracking result on held-out confirmatory set.
tracking,tracking_confirmatory_12vids,Hybrid-ByteTrack,tracking_confirmatory_heldout_12vids,IDF1,98.41%,"Mean: 98.41% [95% CI: 96.26%, 99.70%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/hybrid_bytetrack/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Primary offline tracking result on held-out confirmatory set.
tracking,tracking_confirmatory_12vids,Hybrid-ByteTrack,tracking_confirmatory_heldout_12vids,IDSW,8,"Median: 0.0, range [0, 2]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/hybrid_bytetrack/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. 87.5% reduction vs raw baseline (64 -> 8).
tracking,tracking_confirmatory_12vids,Hybrid-ByteTrack,tracking_confirmatory_heldout_12vids,wrong_id_exposure,8597 (4.99% matched / 4.98% all-GT),"286.57 s; 9 episodes, 4 swaps",172800 evaluated frames,PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/hybrid_bytetrack/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Duration-weighted exposure on held-out videos.
tracking,tracking_confirmatory_12vids,Raw ByteTrack,tracking_confirmatory_heldout_12vids,HOTA,89.41%,"Mean: 89.11% [95% CI: 83.21%, 94.03%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/bytetrack_raw/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Preregistered technical baseline on held-out confirmatory set.
tracking,tracking_confirmatory_12vids,Raw ByteTrack,tracking_confirmatory_heldout_12vids,IDF1,94.23%,"Mean: 94.23% [95% CI: 89.61%, 97.96%]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/bytetrack_raw/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Preregistered technical baseline on held-out confirmatory set.
